id,tipo,temp_ar_kelvin,temp_processo_kelvin,velocidade_rotacao_rpm,torque_nm,tipo_falha
1552,1,298.4,308.8,1458,40.1,1
8607,2,297.5,308.4,1505,37.2,1
3913,1,302.4,311.4,1475,40.4,1
5295,1,303.9,313.4,1442,48.5,1
931,2,295.5,305.9,1453,47.3,1
130,1,298.9,308.5,1559,34.3,1
9041,1,297.3,308.3,1550,37.0,1
3420,1,301.5,310.5,1611,33.8,1
4347,1,301.8,309.7,1598,30.4,1
8329,1,298.6,309.5,1325,52.2,1
1288,1,298.5,309.6,1419,41.5,1
9931,1,298.3,308.3,1452,45.5,1
6441,1,300.6,310.2,1648,31.7,1
5052,1,303.9,313.0,1480,39.9,1
7960,1,301.0,312.1,1585,32.3,1
5127,1,304.3,313.5,1802,25.4,1
4137,1,301.7,310.1,1487,48.0,1
3481,1,301.9,310.8,1400,58.2,1
9585,1,299.3,310.5,1529,41.3,1
9976,2,298.6,308.3,1589,34.1,1
2828,1,300.4,309.4,1412,51.6,1
6088,2,300.9,310.8,1599,33.0,1
7696,1,300.6,311.7,1488,47.7,1
1580,1,298.3,308.3,1444,43.8,1
1571,1,298.2,308.4,1452,43.5,1
7750,1,300.4,311.6,1674,33.0,1
4831,1,303.5,312.0,1756,29.7,1
6951,0,300.7,311.3,1374,53.1,1
8367,2,298.9,309.8,1836,22.8,1
1799,2,298.0,307.5,1431,52.9,1
4199,2,302.4,311.1,1432,44.5,1
8046,2,300.7,311.9,1366,55.1,1
9150,2,297.5,308.6,1429,50.5,1
4538,1,302.3,310.2,1548,35.3,1
8352,2,298.7,309.6,1686,26.2,1
589,1,297.6,309.4,1628,33.4,1
3132,1,300.1,309.5,1660,32.7,1
2208,1,299.8,309.2,1591,37.5,1
2383,1,299.1,308.3,1601,31.4,1
6131,1,301.0,310.9,1473,44.2,1
4467,1,302.8,310.6,1470,41.1,1
5117,1,304.2,313.8,1401,53.9,1
6584,2,301.5,310.5,1503,38.2,1
1713,1,298.3,307.9,1551,33.8,1
2863,1,300.6,309.5,1867,23.0,5
5059,1,303.9,312.9,1526,42.5,1
5864,2,301.4,311.1,1758,25.4,1
9241,2,298.1,308.7,1362,49.6,1
9917,2,298.5,308.8,1553,34.9,1
3643,1,302.3,311.6,1309,57.6,1
7143,0,300.3,309.7,1452,41.5,1
62,2,298.8,309.0,1592,38.2,1
7385,1,299.7,310.4,1614,36.2,1
6687,1,301.7,311.0,1715,24.8,1
6700,2,301.7,310.8,1516,40.4,1
2850,1,300.4,309.3,1766,28.2,1
8670,2,297.5,308.8,1471,52.3,1
1140,2,297.0,307.9,1569,33.3,1
5280,1,303.6,313.0,1522,35.8,1
2515,1,298.9,308.6,2069,18.7,1
4399,2,302.3,310.1,1563,37.8,1
6145,2,301.1,311.1,1615,37.7,1
6481,1,300.7,309.9,1775,26.6,1
1513,0,298.0,308.7,1503,36.3,1
9709,1,299.0,310.1,1664,29.7,1
7401,2,299.6,310.6,1633,34.2,1
1762,1,298.1,307.6,1950,20.3,5
5478,1,302.7,312.1,1763,26.5,1
8480,1,298.6,309.7,1627,33.4,1
636,1,298.3,310.0,1858,23.9,1
1963,1,297.8,307.5,1391,48.6,1
400,1,297.4,308.4,1392,49.7,1
2893,1,300.7,309.6,1329,54.3,1
5907,1,300.7,310.3,1533,35.6,1
504,2,297.6,309.2,1442,48.1,1
712,1,297.5,308.7,1443,46.2,1
1506,1,298.0,308.7,1626,36.7,1
8653,0,297.3,308.3,1461,41.5,1
8706,1,297.2,308.6,1437,52.4,1
8964,2,297.2,307.9,1687,30.4,1
3990,1,302.2,311.3,1602,32.8,1
5164,2,304.2,313.4,1713,23.5,1
7269,1,300.5,310.6,1543,36.2,1
9580,1,299.5,310.7,1589,33.5,1
3199,2,300.0,309.1,1463,45.7,1
3772,2,302.3,311.0,1384,49.7,1
9913,1,298.6,308.9,1327,58.8,1
4381,1,301.9,309.6,1410,49.0,1
5981,2,300.6,310.7,1654,32.0,1
5228,1,303.9,313.1,1440,41.1,1
7305,1,300.1,310.5,1394,44.3,1
4027,2,302.1,311.0,1574,34.1,1
5424,1,302.6,312.3,1647,31.8,1
1413,2,298.8,309.9,1415,53.2,1
8772,1,297.5,308.6,1536,39.0,1
8611,1,297.4,308.3,1561,38.3,1
4654,2,303.1,311.1,1594,35.5,1
7183,1,300.3,310.3,2158,16.8,1
3257,1,301.1,309.8,1519,39.6,1
1832,2,297.8,307.3,1315,54.0,1
9949,1,298.2,307.8,1804,25.1,1
3885,0,302.5,311.5,1626,36.0,1
4462,1,302.7,310.5,1642,30.8,1
2823,1,300.3,309.6,1593,38.1,1
2927,1,300.7,309.7,1507,52.4,1
9262,0,298.3,309.0,1470,38.4,1
2594,0,298.9,308.5,1415,54.0,1
8668,2,297.5,308.8,1455,46.1,1
8004,2,300.8,312.0,1274,67.3,2
7569,1,300.2,311.0,1627,33.7,1
3680,1,302.2,311.5,1725,34.0,1
2072,2,299.7,309.6,1313,60.0,1
9639,0,299.3,310.4,1393,44.9,1
7962,1,301.0,312.2,1264,59.0,1
7860,2,300.5,311.9,1370,44.8,1
6627,1,301.6,310.6,1613,42.5,1
8040,1,300.8,311.9,1560,31.8,1
1018,1,296.3,307.2,1637,31.6,1
2861,0,300.6,309.4,1463,49.2,2
6717,1,301.3,310.6,1387,53.6,1
2817,1,300.1,309.4,1434,47.3,1
7253,0,300.2,310.4,1501,42.9,1
1948,1,298.2,308.1,1462,49.9,1
8280,1,298.8,310.6,1803,25.4,1
4438,1,302.4,310.2,1578,31.2,1
5959,1,300.6,310.8,1533,38.5,1
7684,1,300.7,311.7,1524,43.5,1
454,1,297.4,308.7,1510,36.2,1
8731,0,297.3,308.7,1569,33.9,1
1593,1,298.1,308.4,1592,38.2,1
1775,2,298.5,308.0,1519,37.3,1
7803,1,299.9,311.3,1429,58.2,1
3061,1,300.0,309.1,1882,23.8,1
8766,1,297.4,308.8,1353,49.4,1
5810,0,301.3,311.0,1580,36.6,1
9014,0,297.2,308.0,1435,43.0,1
9658,1,299.0,310.0,1484,39.6,1
8301,1,298.7,310.1,1558,37.6,1
3127,1,300.0,309.4,1499,35.7,1
4958,2,303.8,312.6,1768,23.9,1
9445,1,298.1,308.9,2136,15.9,1
8861,2,297.9,309.1,1488,37.3,1
1175,2,297.1,308.1,1352,44.4,1
6602,2,301.5,310.7,1347,47.9,1
7343,2,299.7,310.3,1661,34.5,1
5056,0,303.8,312.9,1378,45.6,1
654,1,297.8,309.3,2015,20.1,1
6264,2,301.0,310.6,1698,27.3,1
6775,0,301.2,310.7,1747,27.3,1
9787,2,298.7,309.6,1738,27.3,1
462,1,297.4,308.7,1402,40.2,1
9292,1,298.2,309.0,1353,57.8,1
9688,2,299.1,310.1,1649,31.6,1
5388,1,302.8,312.2,1433,50.0,1
5492,2,302.7,312.2,1350,58.6,1
9965,1,298.3,307.9,1766,26.5,1
6671,1,301.5,310.6,1998,20.2,1
9746,1,298.8,310.0,1611,32.4,1
6379,1,300.0,309.6,1514,44.6,1
7676,1,300.5,311.6,1447,45.4,1
138,1,298.7,308.6,1297,55.3,1
9010,1,297.3,307.9,1579,34.4,1
576,2,297.9,309.9,1410,55.4,1
3714,1,302.3,311.5,1565,35.6,1
2874,0,300.6,309.4,1555,37.9,1
5404,1,302.7,312.3,1858,25.4,1
8036,1,300.7,311.7,1910,19.7,1
7708,0,300.5,311.4,1679,27.5,1
2955,0,300.6,309.4,1691,28.0,1
1295,1,298.8,309.9,1486,40.3,1
4861,2,303.6,312.4,1504,49.5,1
2066,1,299.7,309.6,1419,45.1,1
7057,2,300.8,310.5,1409,50.6,1
861,0,296.1,306.9,1541,32.6,1
3151,1,300.4,309.8,1513,32.9,1
5601,1,302.8,312.1,1487,36.6,1
4091,1,302.0,310.5,2197,15.8,1
3588,0,301.8,310.5,1478,38.6,1
8215,1,299.2,310.5,1391,45.8,1
3974,1,302.3,311.4,1535,41.8,1
8514,2,298.2,309.5,1478,36.5,1
9293,1,298.2,309.0,1643,34.1,1
6525,1,301.1,310.4,1874,24.8,1
5940,1,300.5,310.5,1409,60.9,3
5201,1,303.8,312.8,1416,58.7,1
9039,1,297.3,308.3,2358,14.9,1
1605,1,297.8,307.8,1452,39.8,1
8833,1,297.4,308.8,1651,34.1,1
7638,0,300.4,311.4,1445,52.4,1
6075,2,301.0,310.8,1533,39.3,1
445,1,297.4,308.4,1582,37.2,1
6191,1,300.9,310.9,1749,26.4,1
3343,1,301.5,310.8,1382,52.4,1
3783,1,302.2,310.8,1827,23.8,1
4637,1,303.0,311.3,1466,43.0,1
3290,2,301.2,310.1,1295,56.6,1
3429,1,301.6,310.6,1391,49.4,1
2381,1,299.0,308.1,1242,60.9,1
8790,1,297.4,308.5,1471,43.9,1
4615,0,303.0,311.2,1503,37.0,1
5324,2,303.4,312.7,1399,48.4,1
295,2,298.1,308.5,1372,51.1,1
1025,1,296.2,307.3,1711,29.9,1
5689,2,302.3,311.7,1423,44.6,1
8118,1,300.3,311.7,1406,47.5,1
7554,1,300.3,311.3,1505,39.6,1
8748,1,297.3,308.5,1504,42.0,1
7649,1,300.4,311.4,1552,28.8,1
2327,2,299.4,308.7,1487,52.6,1
5714,1,302.2,311.9,1596,38.0,1
3218,1,300.6,309.5,2025,21.4,1
2403,1,299.2,308.7,1325,51.0,1
5161,1,304.1,313.2,1434,50.1,1
6916,1,301.0,311.4,1484,36.2,1
6408,2,300.3,309.9,1611,29.0,1
7212,1,299.8,309.7,1431,40.3,1
2449,1,299.4,308.9,1440,42.5,1
5921,1,300.5,310.2,1764,25.9,1
5426,1,302.5,312.2,1775,27.9,1
9678,1,299.0,310.1,2033,19.3,1
3748,1,302.5,311.1,1499,38.8,1
7936,2,300.8,311.9,1356,44.3,1
4022,0,302.1,310.9,1452,42.5,1
2044,2,299.2,309.0,1597,30.3,1
3817,1,302.1,310.6,1459,47.6,1
3848,2,302.3,311.0,1450,45.7,1
8811,2,297.3,308.5,1625,32.8,1
4058,1,302.0,310.9,1495,38.6,1
312,2,298.0,308.6,1453,44.1,1
7654,1,300.4,311.5,1492,44.6,1
1369,0,298.8,310.3,1708,27.1,1
4886,0,303.8,312.5,1748,25.1,1
2386,1,299.1,308.3,1524,34.1,1
7680,1,300.7,311.7,1635,32.4,1
6788,0,301.1,310.6,1388,58.5,1
5405,0,302.8,312.5,1422,46.1,1
363,0,297.6,308.3,1640,30.9,1
4565,1,302.8,310.8,1516,39.5,1
177,1,298.2,308.1,1618,34.7,1
1433,1,298.8,309.8,1437,42.8,1
2142,2,299.3,308.9,1577,34.9,1
3173,2,300.3,309.6,1488,41.3,1
987,0,296.4,307.1,1638,32.5,1
4889,1,303.7,312.4,1512,39.2,1
8336,2,299.0,309.8,2240,15.9,1
9946,1,298.3,308.0,1578,37.8,1
2141,1,299.3,309.0,1419,46.6,1
7628,1,300.5,311.7,1445,44.8,1
8394,1,298.5,309.5,1428,43.5,1
8757,1,297.5,308.7,1761,26.2,1
7811,1,300.1,311.5,2218,17.0,1
8165,1,299.6,310.9,1472,40.9,1
5156,0,304.2,313.3,1625,37.3,1
3646,1,302.2,311.5,1413,43.5,1
2157,2,299.4,308.9,1457,41.5,1
6596,2,301.5,310.7,1460,38.6,1
3230,1,300.6,309.4,1442,43.2,1
9801,0,298.5,309.3,1421,50.3,1
7158,1,300.2,310.0,1486,40.1,1
6002,2,300.4,310.2,1380,47.3,1
8510,2,298.4,309.7,1870,22.5,1
7880,2,300.8,312.3,1535,40.3,1
9442,1,298.1,308.8,1432,43.4,1
1491,1,298.2,309.0,1341,43.8,1
460,1,297.4,308.6,1476,42.3,1
3574,1,301.8,310.6,1452,48.4,1
8883,1,298.0,309.2,1378,49.7,1
1951,2,298.0,307.9,1479,47.6,1
2325,1,299.3,308.8,1636,29.9,1
737,1,296.9,308.3,1555,38.2,1
1591,1,298.2,308.4,1497,37.7,1
4933,1,303.3,312.1,1418,44.7,1
5437,2,302.9,312.5,1679,30.9,1
4198,1,302.4,311.0,1573,36.5,1
15,1,298.6,309.2,2035,19.6,1
5719,1,302.4,312.0,1621,32.5,1
7695,0,300.6,311.7,1500,36.7,1
9062,2,297.2,308.4,1863,26.0,1
3847,1,302.3,310.9,1403,47.2,1
1043,1,296.6,307.6,1542,37.4,1
1388,1,298.9,310.1,1823,26.1,1
4300,1,301.7,310.1,1402,50.1,1
3062,1,300.1,309.1,1353,58.7,1
7140,1,300.6,310.1,1495,42.3,1
1087,1,297.0,307.9,1455,49.0,1
8225,1,299.1,310.5,1496,35.2,1
8697,1,297.2,308.6,1413,49.8,1
2510,1,299.0,308.9,1511,35.9,1
2484,2,298.9,308.7,1402,49.8,1
6136,1,301.0,310.9,1740,28.9,1
8072,1,300.5,312.0,1646,29.5,1
5468,1,302.9,312.4,1383,51.4,1
1537,2,298.2,308.9,1326,54.4,1
1372,2,298.7,310.3,1495,38.7,1
9153,1,297.5,308.6,1260,53.6,1
7834,1,300.0,311.4,1604,38.7,1
2535,1,298.9,308.7,1729,26.6,1
641,2,297.9,309.6,1515,38.8,1
8544,2,298.5,309.4,1365,48.7,1
8590,2,297.3,307.8,1538,48.0,1
7368,2,299.5,310.1,1359,61.1,1
778,1,296.7,307.8,1382,47.5,1
6015,0,300.8,310.8,1618,32.8,1
50,2,298.9,309.2,1412,44.1,1
4915,2,303.5,312.3,1532,41.7,1
7937,1,300.8,311.7,1490,46.4,1
6097,2,300.8,310.7,1483,40.8,1
4855,1,303.7,312.2,1568,33.8,1
8491,2,298.5,309.6,1364,58.7,1
3268,1,301.3,310.0,1550,41.5,1
2860,1,300.6,309.4,1549,43.4,1
2882,2,300.6,309.6,1588,37.0,1
7921,1,300.8,312.0,1382,49.3,1
1532,0,298.1,309.0,1438,41.4,1
773,0,296.8,308.0,1453,51.0,1
410,1,297.4,308.6,1459,41.3,1
9968,2,298.3,307.9,1609,32.4,1
1451,2,299.0,310.3,1447,39.9,1
7872,1,300.6,312.2,1308,54.7,1
1248,1,297.2,308.5,1513,42.9,1
4169,1,302.2,310.6,1632,30.5,1
7251,2,300.1,310.2,1429,42.0,1
1645,1,298.0,307.8,1622,33.3,1
4112,2,302.0,310.6,1563,41.0,1
7632,1,300.5,311.6,1444,49.3,1
3533,1,301.9,310.9,1486,40.3,1
483,1,297.3,309.0,1548,37.4,1
3047,2,300.2,309.4,1501,40.0,1
3287,1,301.2,310.0,1618,37.6,1
2653,1,299.9,309.5,1772,23.5,1
3770,2,302.2,311.0,1436,47.0,1
9111,2,297.6,308.6,1389,49.0,1
4585,1,302.8,311.1,1550,32.3,1
9986,0,298.7,308.5,1572,35.6,1
8709,2,297.2,308.5,1364,54.0,1
8708,1,297.2,308.5,1471,41.7,1
8229,2,299.1,310.4,1422,49.3,1
4790,1,303.8,312.8,1646,35.8,1
6530,1,301.3,310.6,1481,40.9,1
4298,2,301.8,310.2,1609,34.2,1
5513,1,302.8,312.2,1682,30.9,1
2831,2,300.4,309.3,1411,41.6,1
879,2,295.7,306.3,1685,34.9,1
7180,1,300.2,310.1,1523,42.3,1
5599,1,302.8,312.1,1441,52.1,1
2686,1,299.8,309.4,1609,32.5,1
2159,2,299.5,309.0,1399,49.7,1
706,1,297.7,309.0,1507,38.2,1
7650,0,300.4,311.5,1662,29.0,1
6299,1,301.1,310.5,1428,44.1,1
6358,1,300.2,309.8,1398,54.8,1
9683,1,299.1,310.0,1394,46.6,1
977,2,296.0,306.6,1392,51.3,1
1255,0,297.5,308.8,1430,49.4,1
7580,1,300.4,311.2,1436,56.8,1
3666,2,302.4,311.8,1358,50.6,1
9555,2,299.3,310.7,1440,45.5,1
3655,1,302.1,311.4,1603,35.9,1
6022,1,300.7,310.8,1814,21.4,1
7835,1,300.0,311.4,1483,45.6,1
9233,1,298.2,309.1,1350,52.0,1
9400,1,297.8,308.3,1477,44.8,1
3712,1,302.2,311.5,1543,38.5,1
4899,0,303.6,312.4,1460,53.7,0
4639,1,303.1,311.3,1474,34.8,1
7171,2,300.3,310.2,1442,39.5,1
8892,2,297.7,308.9,1681,28.3,1
8223,1,299.0,310.5,1755,27.9,1
8551,1,298.3,309.2,1456,45.5,1
3194,1,300.0,309.1,1401,44.5,1
8902,1,297.3,308.6,1446,50.1,1
6990,2,300.7,311.1,1608,35.3,1
8650,1,297.4,308.4,1328,61.8,1
3820,1,302.2,310.7,1567,36.4,1
1072,1,296.9,307.8,1425,49.1,1
9531,0,299.1,310.4,1405,53.6,1
2868,0,300.7,309.6,1390,48.5,1
472,0,297.3,308.8,1419,42.4,1
9923,0,298.6,308.8,1566,39.1,1
8260,1,299.1,310.5,1471,38.4,1
9121,1,297.4,308.4,1525,38.7,1
1209,1,297.0,308.1,1489,44.1,1
4232,1,302.2,310.8,1340,47.8,1
3980,1,302.3,311.3,1439,41.8,1
4110,2,301.9,310.6,1475,47.8,1
4517,1,302.5,310.3,1539,39.0,1
6161,1,301.0,310.9,1570,34.0,1
1219,2,297.0,308.2,1702,30.7,1
7127,2,300.6,310.0,1542,33.9,1
91,1,298.9,308.9,1753,25.8,1
9898,1,298.8,309.3,1357,47.1,1
8566,1,298.0,308.8,1489,36.5,1
1957,2,297.9,307.7,1364,46.8,1
9283,2,298.2,308.9,1414,44.3,1
502,2,297.6,309.3,1464,46.2,1
3088,2,300.0,309.1,1474,45.2,1
2181,0,299.6,309.2,1597,36.3,1
2559,2,299.2,309.0,1881,23.9,1
2103,1,299.3,309.3,1325,62.0,1
757,1,296.8,308.0,1584,40.4,1
9018,2,297.3,308.1,1369,52.0,2
6220,0,301.1,310.6,1407,43.9,1
6557,1,301.5,310.7,1686,27.9,1
5244,1,303.7,313.1,1721,34.8,1
7260,2,300.4,310.5,1500,43.0,1
1908,1,297.9,307.6,1504,42.4,1
4810,1,303.4,312.2,1656,32.7,1
740,1,296.9,308.4,1390,41.8,1
393,2,297.6,308.5,1490,43.4,1
8503,0,298.6,309.8,1279,55.9,1
1658,2,298.1,308.0,1374,48.8,1
4142,0,301.7,310.1,1462,38.3,1
4294,1,301.8,310.0,1393,44.9,5
5759,1,301.9,311.3,1501,40.8,1
8711,1,297.1,308.5,1712,32.1,1
7853,1,300.3,311.7,1515,37.5,1
2344,1,299.1,308.3,1305,61.4,1
584,0,297.7,309.6,1697,32.2,1
9813,2,298.2,309.1,1411,45.8,1
3208,2,300.2,309.0,1642,31.2,1
1064,2,296.8,307.8,1664,32.8,1
6629,1,301.6,310.5,1593,34.5,1
2631,1,300.0,309.8,1372,39.6,1
6783,1,301.3,310.8,1531,53.4,1
1742,2,298.5,308.0,1363,49.2,1
8710,1,297.1,308.5,1578,35.6,1
2444,1,299.1,308.5,1647,35.0,1
9222,2,297.8,309.0,1675,30.0,1
5403,1,302.7,312.3,1421,48.5,1
5040,0,304.1,313.3,1689,32.5,1
6987,1,300.7,311.1,1688,30.7,1
2039,1,299.0,308.8,1405,55.2,1
7581,1,300.4,311.3,1495,51.2,1
214,1,298.4,308.7,1386,44.9,1
5613,1,303.0,312.3,1486,42.4,1
3618,1,301.8,311.0,1529,41.6,1
4755,2,303.3,311.5,1384,54.8,1
9429,0,298.2,308.8,1837,28.4,1
5152,1,304.3,313.6,1409,56.0,1
4240,1,302.3,311.0,1446,37.6,1
2184,2,299.6,309.3,1577,39.8,1
2010,2,298.6,308.3,1717,28.7,1
5690,1,302.4,311.8,1543,31.1,1
3205,1,300.1,309.0,1404,54.8,1
1479,1,298.3,309.4,1568,35.8,1
8899,1,297.4,308.6,1532,38.7,1
501,2,297.5,309.2,1804,27.4,1
1738,1,298.4,307.9,1743,27.3,1
8176,2,299.9,311.3,1445,41.2,1
9383,1,297.5,308.2,1610,33.6,1
2340,1,299.2,308.2,1466,41.3,1
8908,2,297.2,308.6,1404,43.7,1
2276,1,299.3,308.6,1605,37.0,1
5387,1,302.9,312.2,1469,42.0,1
1800,2,298.0,307.5,1427,45.1,1
1306,1,298.8,310.0,1672,30.4,1
3754,1,302.2,311.0,1463,46.8,1
1912,2,298.1,307.8,1316,57.2,1
5611,1,303.1,312.4,1407,41.2,1
7045,2,300.7,310.6,1505,35.6,1
6899,2,301.0,311.6,1448,43.9,1
5003,1,303.7,312.8,1627,31.7,1
6502,2,300.9,310.0,1600,36.0,1
1258,1,297.5,308.9,1466,43.0,1
8632,0,297.3,308.3,1506,37.0,1
5520,1,302.5,311.9,1452,47.4,1
2437,0,299.0,308.2,1662,30.4,1
3503,2,301.8,310.9,1346,44.6,1
2328,2,299.3,308.7,1420,50.3,1
3438,1,301.5,310.5,2297,15.8,1
6957,2,300.8,311.2,1434,39.1,1
5631,2,302.8,312.2,1615,32.9,1
8934,2,297.3,308.3,1544,41.7,1
3388,2,301.6,310.8,1290,65.3,3
832,2,296.6,307.4,1544,42.3,1
7974,1,301.1,312.3,1682,29.7,1
1609,1,297.8,307.7,1393,38.0,1
9164,1,297.6,308.6,1415,47.3,1
700,0,297.5,308.7,1416,39.2,1
9054,2,297.4,308.5,1638,32.2,1
427,1,297.4,308.5,1501,44.9,1
8485,1,298.4,309.5,1397,50.3,1
8802,1,297.4,308.6,1488,36.4,1
3513,2,301.8,311.0,1393,49.5,1
6343,2,300.3,309.8,1444,42.0,1
9334,1,298.5,309.0,1450,40.5,1
2409,1,299.0,308.4,1356,52.6,1
835,0,296.6,307.4,1333,50.2,1
5984,0,300.8,310.8,1466,45.2,1
6169,2,300.7,310.6,1778,27.1,5
1501,2,298.0,308.7,2101,17.4,1
5051,0,304.0,313.0,1701,30.4,1
9461,2,298.4,309.2,1399,45.2,1
1534,2,298.0,308.9,1339,51.4,1
8548,2,298.4,309.4,1666,24.3,1
3521,1,301.9,311.0,1669,32.2,1
1151,1,297.1,307.9,1456,50.0,1
8781,2,297.5,308.6,1327,52.1,1
7215,2,299.9,309.8,1625,41.2,1
9486,1,298.9,309.6,1589,34.2,1
6444,1,300.8,310.3,1537,33.3,1
5446,2,303.0,312.8,1648,32.1,1
8022,2,301.0,312.0,1499,34.6,1
6594,1,301.6,310.7,1679,29.5,1
7873,1,300.6,312.3,1532,37.2,1
9338,0,298.5,308.9,1500,40.3,1
9571,1,299.7,310.9,1384,48.2,1
1975,1,298.0,307.6,1450,48.7,1
5896,2,301.2,310.9,1460,46.7,1
6764,2,301.4,310.8,1782,26.5,1
2368,2,299.3,308.5,1496,39.4,1
8920,1,297.2,308.3,1693,28.0,1
6026,1,300.7,311.0,1336,53.3,1
4348,0,301.9,309.8,1724,27.5,1
3787,1,302.3,310.9,1587,36.6,1
5789,1,301.8,311.5,1443,43.3,1
7131,1,300.6,309.9,1428,48.8,1
4931,1,303.4,312.3,1663,33.9,1
4148,1,301.9,310.3,1398,44.0,1
7297,0,300.0,310.4,1881,21.9,1
1864,2,297.9,307.7,1517,39.5,1
8379,2,298.8,309.9,1331,61.6,1
9432,1,298.0,308.6,1430,57.0,1
1852,2,297.7,307.3,1365,49.2,1
5251,1,303.5,312.9,1332,52.9,1
6039,1,300.7,311.0,1496,38.3,1
2222,1,299.6,309.0,1372,60.4,1
417,1,297.4,308.5,1495,37.8,1
1223,1,297.0,308.3,1399,59.0,1
5101,2,304.2,313.5,1437,47.2,1
1652,1,298.0,307.8,1414,51.7,1
810,1,296.9,307.6,1452,45.7,1
3732,2,302.2,311.2,1377,43.0,1
797,2,296.9,307.9,2010,18.9,1
7809,1,299.9,311.4,1627,36.7,1
8347,1,298.7,309.7,1601,35.7,1
5368,2,303.1,312.5,1766,26.7,1
989,0,296.3,307.1,1774,25.9,1
9197,1,298.0,308.9,1607,37.7,1
9260,2,298.2,309.0,1694,28.0,1
5293,2,303.9,313.3,1567,35.0,1
261,2,298.2,308.3,1522,49.1,1
5248,1,303.6,313.1,1405,38.3,1
3235,1,300.8,309.4,1489,38.4,1
6301,1,301.2,310.7,1517,39.4,1
5202,2,303.7,312.7,1396,47.3,1
3746,1,302.6,311.4,1738,25.8,1
6293,1,301.0,310.4,1614,31.6,1
8281,1,298.8,310.6,1602,39.1,5
2191,2,299.6,309.1,1471,44.3,1
6440,1,300.6,310.1,1656,32.7,1
2336,1,299.2,308.4,1509,39.4,1
4019,2,302.0,310.8,1783,23.1,1
3129,2,300.1,309.5,1462,42.8,1
5429,1,302.7,312.4,1453,47.3,1
4561,1,302.7,310.7,1597,41.9,1
6254,1,300.9,310.4,1615,30.9,1
2228,1,299.5,308.8,1965,20.4,1
5900,0,300.9,310.6,1686,27.7,1
2306,0,299.2,308.5,1342,47.5,1
5998,2,300.5,310.2,1571,34.6,5
4355,1,302.0,309.8,1456,58.1,3
5224,2,303.9,313.2,1350,47.2,1
3349,2,301.3,310.7,1532,40.7,1
3431,0,301.6,310.6,1821,26.2,1
1607,1,297.8,307.7,1505,39.7,1
4178,1,302.5,310.9,1477,39.2,1
9240,0,298.2,308.8,1436,51.9,1
6479,1,300.5,309.8,1663,29.1,1
7533,2,300.0,311.3,1629,32.1,1
6582,1,301.4,310.4,1559,36.0,1
833,1,296.6,307.4,1521,38.6,1
9088,1,297.1,307.8,1681,27.6,1
1348,1,298.7,310.2,1717,27.3,1
7797,1,300.1,311.5,1454,52.4,1
3526,1,301.8,310.9,1609,31.7,1
3502,0,301.9,311.0,1291,63.6,1
3809,2,302.3,310.9,1762,24.5,1
4530,2,302.4,310.4,1586,34.3,1
6009,1,300.7,310.7,1431,39.3,1
4338,1,301.6,309.9,1440,43.4,1
